ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,mu_winner,mu_loser,sigma_winner,sigma_loser,z_val,pred,ttt_correct,bookie_pred,bookie_correct
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Machac T.,Etcheverry T.,78,30,722,1375,6,7,7,5,7,6,NA,NA,NA,NA,2,1,Completed,1.36,3.2,1.4,3.17,1.41,3.2,1.37,3.02,1.7062258122802625,0.6141794207618624,2.179906085935964,0.27087972935613763,1.7062258122802625,2.179906085935964,0.6141794207618624,0.27087972935613763,-0.7056567004319637,Etcheverry T.,FALSE,Machac T.,TRUE
2,Hong Kong,Hong Kong Tennis Open,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Bautista Agut R.,Marozsan F.,57,64,886,805,6,2,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.64,2.39,1.7,2.39,1.63,2.24,2.020470928799248,0.3179727200236114,2.550095824817472,0.44558516403697346,2.020470928799248,2.550095824817472,0.3179727200236114,0.44558516403697346,-0.967518392215436,Marozsan F.,FALSE,Bautista Agut R.,TRUE
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Etcheverry T.,48,30,961,1375,7,6,4,6,7,5,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.75,2.19,1.75,2.25,1.69,2.15,2.038584387923592,0.3411036072813259,2.1191030503535964,0.2717229254611085,2.038584387923592,2.1191030503535964,0.3411036072813259,0.2717229254611085,-0.18463260597355416,Etcheverry T.,FALSE,Shevchenko A.,TRUE
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Mcdonald M.,55,42,910,1055,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.57,2.53,1.57,2.63,1.54,2.43,1.7004213103424834,0.28730978731841417,2.1676346115766822,0.2656290965727372,1.7004213103424834,2.1676346115766822,0.28730978731841417,0.2656290965727372,-1.194041647191868,Mcdonald M.,FALSE,Kecmanovic M.,TRUE
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Bolt A.,Seyboth Wild T.,325,78,159,714,6,3,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.93,1.96,1.93,2.1,1.83,1.96,0.9955251897850352,1.1298178649951927,1.359472036482529,0.6752768144026834,0.9955251897850352,1.359472036482529,1.1298178649951927,0.6752768144026834,-0.27650497236940685,Seyboth Wild T.,FALSE,Bolt A.,TRUE
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Evans D.,Hijikata R.,40,70,1096,782,6,3,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.83,2.07,1.83,2.07,1.78,2.01,1.7627464544838407,0.3224256980440587,2.011154668823909,0.4031744045689538,1.7627464544838407,2.011154668823909,0.3224256980440587,0.4031744045689538,-0.481183674081532,Hijikata R.,FALSE,Evans D.,TRUE
4,Auckland,ASB Classic,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Eubanks C.,59,34,865,1235,7,6,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.44,2.98,1.46,3.1,1.41,2.83,2.069496835303494,0.28737367220415744,2.1137800689766637,0.3062567403253707,2.069496835303494,2.1137800689766637,0.28737367220415744,0.3062567403253707,-0.10544319926409672,Eubanks C.,FALSE,Van De Zandschulp B.,TRUE
4,Auckland,ASB Classic,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Ofner S.,Shapovalov D.,37,116,1132,560,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.94,1.94,1.94,2.36,1.8,1.99,2.1524885909482867,0.3762647020194651,2.29576819211141,0.39038579732019285,2.1524885909482867,2.29576819211141,0.3762647020194651,0.39038579732019285,-0.264258083156734,Shapovalov D.,FALSE,Ofner S.,TRUE
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,O Connell C.,Garin C.,68,86,814,680,3,6,7,5,4,6,6,1,7,5,3,2,Completed,1.44,2.75,1.43,3.08,1.48,3.16,1.41,2.95,1.8235755331732035,0.31192152392396993,1.9494003990509163,0.34453062518448724,1.8235755331732035,1.9494003990509163,0.31192152392396993,0.34453062518448724,-0.2707342687635329,Garin C.,FALSE,O Connell C.,TRUE
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,De Jong J.,Cachin P.,161,74,393,763,4,6,6,2,6,3,6,4,NA,NA,3,1,Completed,1.36,3.2,1.35,3.55,1.43,3.55,1.37,3.12,-1.7925332494738426,2.998045752957558,1.4598173783490853,0.3317622676322892,-1.7925332494738426,1.4598173783490853,2.998045752957558,0.3317622676322892,-1.0782418154314835,Cachin P.,FALSE,De Jong J.,TRUE
