ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,GamesMatch,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,Fatigue_W,Fatigue_L,mu_winner,mu_loser,sigma_winner,sigma_loser,p_ttt_win,p_adj_win,y,pred_base,ttt_correct,pred_fat,ttt_fat_correct,p_book,pred_book,bookie_correct,p_base_fav,y_base_fav,p_fat_fav,y_fat_fav,p_book_fav,y_book_fav,theta_used,ATP_k
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Machac T.,Etcheverry T.,78,30,722,1375,6,7,7,5,7,6,NA,NA,NA,NA,2,1,Completed,1.36,3.2,1.4,3.17,1.41,3.2,1.37,3.02,38,1.7062258122802625,0.6141794207618624,2.179906085935964,0.27087972935613763,0,0,1.7062258122802625,2.179906085935964,0.6141794207618624,0.27087972935613763,0.24020082709791957,0.24020082709791957,1,Etcheverry T.,FALSE,Etcheverry T.,FALSE,0.7017543859649122,Machac T.,TRUE,0.7597991729020804,0,0.7597991729020804,0,0.7017543859649122,1,-0.6184788602580946,1
1,Brisbane,Brisbane International,2024-01-03,ATP250,Outdoor,Hard,2nd Round,3,Safiullin R.,Popyrin A.,39,40,1122,1084,6,7,6,4,7,6,NA,NA,NA,NA,2,1,Completed,1.53,2.5,1.53,2.68,1.55,2.68,1.52,2.49,36,2.280539052261586,0.30397839346802313,2.30735870227427,0.28916269011995227,0.62775,0.6561000000000001,2.280539052261586,2.30735870227427,0.30397839346802313,0.28916269011995227,0.4745147431602796,0.4701447271839159,1,Popyrin A.,FALSE,Popyrin A.,FALSE,0.6203473945409429,Safiullin R.,TRUE,0.5254852568397204,0,0.5298552728160841,0,0.6203473945409429,1,-0.6184788602580946,1
1,Brisbane,Brisbane International,2024-01-05,ATP250,Outdoor,Hard,Quarterfinals,3,Safiullin R.,Arnaldi M.,39,44,1122,1021,7,6,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.36,3.2,1.42,3.13,1.44,3.2,1.39,2.96,21,2.280539052261586,0.30397839346802313,2.2987733132087564,0.3628894722944917,1.2374775000000002,1.2838500000000002,2.280539052261586,2.2987733132087564,0.30397839346802313,0.3628894722944917,0.4846369293894598,0.4774772413816131,1,Arnaldi M.,FALSE,Arnaldi M.,FALSE,0.7017543859649122,Safiullin R.,TRUE,0.5153630706105402,0,0.5225227586183869,0,0.7017543859649122,1,-0.6184788602580946,1
2,Hong Kong,Hong Kong Tennis Open,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Bautista Agut R.,Marozsan F.,57,64,886,805,6,2,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.64,2.39,1.7,2.39,1.63,2.24,17,2.020470928799248,0.3179727200236114,2.550095824817472,0.44558516403697346,0,0,2.020470928799248,2.550095824817472,0.3179727200236114,0.44558516403697346,0.16664247570413337,0.16664247570413337,1,Marozsan F.,FALSE,Marozsan F.,FALSE,0.586734693877551,Bautista Agut R.,TRUE,0.8333575242958666,0,0.8333575242958666,0,0.586734693877551,1,-0.6169004603263493,2
2,Hong Kong,Hong Kong Tennis Open,2024-01-04,ATP250,Outdoor,Hard,2nd Round,3,Bautista Agut R.,Cerundolo F.,57,21,886,1760,7,5,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.4,3,1.47,2.9,1.47,3.2,1.41,2.85,21,2.020470928799248,0.3179727200236114,2.486937607024898,0.25551754054463577,0.34425000000000006,0,2.020470928799248,2.486937607024898,0.3179727200236114,0.25551754054463577,0.1264083202878064,0.15177744310785396,1,Cerundolo F.,FALSE,Cerundolo F.,FALSE,0.6818181818181818,Bautista Agut R.,TRUE,0.8735916797121936,0,0.848222556892146,0,0.6818181818181818,1,-0.6169004603263493,2
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Etcheverry T.,48,30,961,1375,7,6,4,6,7,5,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.75,2.19,1.75,2.25,1.69,2.15,35,2.038584387923592,0.3411036072813259,2.1191030503535964,0.2717229254611085,0,0,2.038584387923592,2.1191030503535964,0.3411036072813259,0.2717229254611085,0.42675860486706746,0.42675860486706746,1,Etcheverry T.,FALSE,Etcheverry T.,FALSE,0.5483028720626633,Shevchenko A.,TRUE,0.5732413951329325,0,0.5732413951329325,0,0.5483028720626633,1,-0.6388718540444916,3
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Mcdonald M.,55,42,910,1055,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.57,2.53,1.57,2.63,1.54,2.43,18,1.7004213103424834,0.28730978731841417,2.1676346115766822,0.2656290965727372,0,0,1.7004213103424834,2.1676346115766822,0.28730978731841417,0.2656290965727372,0.11623083863317071,0.11623083863317074,1,Mcdonald M.,FALSE,Mcdonald M.,FALSE,0.6368038740920097,Kecmanovic M.,TRUE,0.8837691613668293,0,0.8837691613668293,0,0.6368038740920097,1,-0.6388718540444916,3
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Evans D.,Hijikata R.,40,70,1096,782,6,3,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.83,2.07,1.83,2.07,1.78,2.01,19,1.7627464544838407,0.3224256980440587,2.011154668823909,0.4031744045689538,0,0.2788425,1.7627464544838407,2.011154668823909,0.3224256980440587,0.4031744045689538,0.3151929815041322,0.2780617078073871,1,Hijikata R.,FALSE,Hijikata R.,FALSE,0.5263157894736842,Evans D.,TRUE,0.6848070184958678,0,0.721938292192613,0,0.5263157894736842,1,-0.6388718540444916,3
4,Auckland,ASB Classic,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Eubanks C.,59,34,865,1235,7,6,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.44,2.98,1.46,3.1,1.41,2.83,21,2.069496835303494,0.28737367220415744,2.1137800689766637,0.3062567403253707,0,0,2.069496835303494,2.1137800689766637,0.28737367220415744,0.3062567403253707,0.45801206952103013,0.4580120695210301,1,Eubanks C.,FALSE,Eubanks C.,FALSE,0.6563245823389022,Van De Zandschulp B.,TRUE,0.5419879304789699,0,0.5419879304789699,0,0.6563245823389022,1,-0.6618200287055283,4
4,Auckland,ASB Classic,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,Shelton B.,Marozsan F.,16,65,2145,805,6,3,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.5,2.79,1.53,2.88,1.46,2.69,19,2.33243760010214,0.2754588779573036,2.4271542135481177,0.431698683207129,0,0.7290000000000001,2.33243760010214,2.4271542135481177,0.2754588779573036,0.431698683207129,0.4266305786130296,0.31473415212616246,1,Marozsan F.,FALSE,Marozsan F.,FALSE,0.6563245823389022,Shelton B.,TRUE,0.5733694213869704,0,0.6852658478738376,0,0.6563245823389022,1,-0.6618200287055283,4
